2026-06-15 15:08:53 | INFO     | __main__ | Starting server on 0.0.0.0:8000
2026-06-15 15:09:47 | INFO     | api.app | Initialising RAG vector store on startup...
2026-06-15 15:09:47 | INFO     | knowledge.rag_pipeline | Loading documents from: G:\ChimeraTechnolgies\DailyTask\cust\docs
2026-06-15 15:09:47 | INFO     | knowledge.rag_pipeline | Loaded 3 documents
2026-06-15 15:09:47 | INFO     | knowledge.rag_pipeline | Split into 11 chunks
2026-06-15 15:09:47 | INFO     | knowledge.rag_pipeline | Loading embedding model: all-MiniLM-L6-v2
2026-06-15 15:15:55 | INFO     | knowledge.rag_pipeline | Building FAISS vectorstore...
2026-06-15 15:16:11 | INFO     | knowledge.rag_pipeline | FAISS index saved to: G:\ChimeraTechnolgies\DailyTask\cust\faiss_index
2026-06-15 15:16:11 | INFO     | api.app | Vector store ready.
2026-06-15 15:55:01 | INFO     | api.app | Initialising RAG vector store on startup...
2026-06-15 15:55:01 | INFO     | knowledge.rag_pipeline | Loading documents from: G:\ChimeraTechnolgies\DailyTask\cust\docs
2026-06-15 15:55:01 | INFO     | knowledge.rag_pipeline | Loaded 3 documents
2026-06-15 15:55:01 | INFO     | knowledge.rag_pipeline | Split into 11 chunks
2026-06-15 15:55:01 | INFO     | knowledge.rag_pipeline | Loading embedding model: all-MiniLM-L6-v2
2026-06-15 15:56:24 | INFO     | knowledge.rag_pipeline | Building FAISS vectorstore...
2026-06-15 15:56:29 | INFO     | knowledge.rag_pipeline | FAISS index saved to: G:\ChimeraTechnolgies\DailyTask\cust\faiss_index
2026-06-15 15:56:29 | INFO     | api.app | Vector store ready.
2026-06-15 15:57:29 | INFO     | api.app | [API] GET / — incoming
2026-06-15 15:57:30 | INFO     | api.app | [API] GET / — 200
2026-06-15 15:57:57 | INFO     | api.app | [API] GET / — incoming
2026-06-15 15:57:58 | INFO     | api.app | [API] GET / — 200
2026-06-15 15:57:58 | INFO     | api.app | [API] GET /favicon.ico — incoming
2026-06-15 15:57:58 | INFO     | api.app | [API] GET /favicon.ico — 404
2026-06-15 15:58:10 | INFO     | api.app | [API] GET /docs — incoming
2026-06-15 15:58:10 | INFO     | api.app | [API] GET /docs — 200
2026-06-15 15:58:11 | INFO     | api.app | [API] GET /openapi.json — incoming
2026-06-15 15:58:13 | INFO     | api.app | [API] GET /openapi.json — 200
2026-06-15 15:58:42 | INFO     | api.app | [API] POST /chat — incoming
